context,wrong,right
"Sementara itu, CEO PT Liga Indonesia Joko Driyono mengaku jika proses verifikasi kelengkapn dokumen peserta ISL 2015 memasuki masa krusial sehingga harus secepatnya diselesaikan demi kick off tepat waktu.",kelengkapn,kelengkapan
"Untuk meningkatkan usaha-usahanya, pemerintah Jumat mengumuman pihaknya telah membentuk sembilan pengadilan militer untuk menangani  kasus-kasus yang terkait dengan terorisme, demikian AFP.",mengumuman,mengumumkan
"Setelah dimasukkan, ektasi tersebut dittutup dengan roti.",dittutup,ditutup
Di TPS 20 pelaksanaan PSU digelar di halaman gereja GMIM Bukit Zaitun Pancurang yang juga merupakan lokasi pelaksanaan perayaan Paskah.,Pancurang,Pancuran
"Dia mengatakan, pemerintah pusat juga sudah menyiapkan dana untuk mereabilitasi lahan hingga 10.000 hektar pada tahun ini sehingga mampu menanggulangi kondisi lingkungan di Jawa Barat.",mereabilitasi,merehabilitasi
"Kedua, saya ingin menyampaikan permohonan maaf sebesar-besarnya kepada keluarga saya, keluarga besar Jakmania atas proses hukum yang saya hadapi yang membuat ketidaknyamanan atau hal-haal lain yang menyusahkan selama proses hukum berlangsung.",hal-haal,hal-hal
Insinden ini menambah deret aksi kekerasan seksual yang terjadi di Inggris dan dimulai lewat perkenalan di situs jejaring sosial.,Insinden,Insiden
"Komisi Nasional Hak Asasi Manusia menurunkan 16 orang relawannnya untuk melakukan pengawasan di 27 titik di lima kabupaten di Lampung, saat masa pencoblosan, 9 Juli 2014.",relawannnya,relawannya
"Selain itu, koleksi berbagai tipe, merek, tahun keluaran berbeda buatam berbagai negara seperti Belanda, Jerman, Inggris, dan Perancis juga dipamerkan sejak Sabtu lalu sampai Minggu kemarin.",buatam,buatan
"""Kelompok radikal tersebut merasa mendapat perlakuan tidak adil dalam masalah politik dan ekonomi, serta secara sosial budaya mereka mendapatkan pengaruh yang kuat mengenai persepsi lain atas Islam sehingga berakibat hilangnya pemahaman esensi Islam  sebagai agama damai, rahmattan lil alamin,"" tuturnya.",rahmattan,rahmatan
"Kami juga sudah meminta keterakngan saksi-saksi,"" tegasnya.",keterakngan,keterangan
"Selain kirab, di Pasar Ngasem juga akan digelar Festival Pasar Rakyat Nusantara yang diselenggarakan atas dukungan Yayasan Donamon Peduli.",Donamon,Danamon
"seharusnya mereka harus lebih tergas kepada terpidana narkoba yang akibat tindakannya berdampak ribuan kali lipat,"" kata Aboe Bakar.",tergas,tegas
Massa sendiri menyambut baik kemenangannuya ini.,kemenangannuya,kemenangannya
"Berkaitan dengan penyelidikan polisi terhadap kru dan penumpang pesawat, Kementerian TYransportasi Malaysia mengatakan bahwa sebagai prosedur normal, maka Polisi Diraja Malaysia menyelidiki semua kru dan penumpang pesawat MH370, serta juru teknik yang terkait dengan pesawat naas itu sebelum lepas landas.",TYransportasi,Transportasi
"Dari fisik korban, terdapat seperma dibagian pakaian dalamnya.",seperma,sperma
"Ia mengatakan, pada Natal 2015 ini seterilisasi gerja dilakukan lebih awal yakni H-2 Natal.",seterilisasi,sterilisasi
"Untuk penghargaan Fifpro World XI, lima pemain Inggris masuk nominasi, yakni bek timnas Inggris Leighton Baines dan Ashley Cole, mgelandang Steven Gerrard, striker Wayne Rooney dan penyerang asal Wales Gareth Bale.",mgelandang,gelandang
"Setelah GCHQ memperoleh akses ke handset pengguna, Snowden mengatakan badan tersebut akan dapat melihat siapa yang menelepon pemilik telepon seluler, pesan singkat apa yang dikirim, daftar kontak, posisi, hingga jaringan nirkabel terlepon pemilik handphone ""Dan mereka bisa melakukan lebih banyak lagi.",terlepon,telepon
Di dua tempat itulan penyidik KPK kini melakukan penggeledahan.,itulan,itulah
